mx,my,mz
0.58666664,0.67000002,0.04933333
0.58233333,0.66166669,0.04366667
0.58233333,0.66000003,0.05100000
0.58566666,0.64999998,0.04700000
0.58333331,0.64866668,0.04933333
0.58499998,0.64433336,0.04600000
0.59666669,0.64366668,0.04433334
0.59733331,0.63866669,0.04066667
0.60166669,0.63533336,0.03733333
0.60166669,0.63433331,0.03666667
0.60500002,0.63599998,0.03500000
0.60500002,0.62599999,0.03566667
0.60666668,0.62533331,0.03500000
0.61199999,0.61666667,0.03100000
0.61766666,0.61233336,0.03033333
0.62199998,0.60500002,0.02700000
0.63200003,0.59566665,0.02333333
0.63766664,0.58766669,0.02000000
0.64433336,0.57099998,0.01366667
0.65233332,0.56333333,0.01433333
0.66399997,0.56000000,0.01533333
0.66833335,0.55233335,0.01433333
0.67833334,0.54166669,0.01433333
0.68000001,0.53200001,0.01266667
0.68933332,0.52366668,0.01600000
0.70099998,0.50733334,0.01433333
0.71433336,0.49000001,0.02700000
0.72333336,0.48199999,0.02866667
0.73000002,0.46766666,0.03033333
0.73500001,0.45833334,0.03566667
0.74233335,0.44666666,0.04533333
0.74733335,0.44233334,0.05033333
0.74900001,0.43200001,0.05733333
0.74733335,0.42533332,0.06266667
0.74333334,0.42533332,0.07066666
0.73833334,0.41600001,0.07866666
0.73500001,0.41866666,0.08033333
0.73066664,0.41933334,0.08366667
0.72233331,0.42033333,0.08366667
0.72333336,0.42199999,0.08100000
0.71600002,0.42766666,0.07866666
0.71200001,0.42266667,0.08100000
0.71266669,0.42100000,0.08533333
0.70766670,0.41266668,0.09400000
0.71100003,0.41266668,0.10733333
0.71366668,0.40166667,0.11933333
0.71700001,0.39566666,0.12833333
0.71700001,0.38333333,0.13833334
0.72899997,0.37366667,0.15366666
0.73833334,0.35866666,0.16233334
0.73900002,0.35066667,0.17666666
0.75166667,0.34833333,0.18433334
0.75166667,0.34066668,0.19666667
0.75333333,0.33666667,0.20999999
0.76033336,0.33166668,0.22400001
0.76033336,0.32499999,0.23600000
0.76033336,0.32033333,0.24833333
0.75866669,0.31533334,0.26933333
0.75533330,0.31766668,0.28533334
0.75533330,0.31533334,0.29899999
0.75400001,0.31866667,0.31400001
0.75166667,0.31366667,0.33766666
0.74833333,0.31866667,0.35366666
0.74566668,0.31600001,0.36899999
0.74166667,0.31766668,0.38333333
0.74066669,0.32100001,0.40533334
0.73333335,0.32566667,0.42266667
0.72899997,0.32900000,0.43666667
0.72899997,0.33500001,0.44700000
0.71266669,0.34233335,0.46733335
0.70366669,0.35066667,0.47766668
0.69433331,0.35933334,0.49366668
0.68066669,0.37200001,0.51266664
0.67666668,0.37700000,0.51833332
0.68000001,0.38233334,0.52766669
0.67833334,0.38400000,0.53366667
0.67833334,0.38733333,0.54000002
0.67333335,0.39399999,0.54066664
0.67333335,0.39333335,0.54366666
0.67166668,0.39666668,0.54366666
0.67233336,0.39733332,0.55033332
0.67666668,0.40066665,0.55900002
0.67500001,0.40500000,0.56099999
0.68166667,0.40933332,0.56999999
0.68000001,0.41533333,0.57333332
0.68000001,0.42199999,0.58200002
0.68066669,0.42699999,0.58899999
0.67833334,0.42933333,0.59333330
0.68166667,0.44066668,0.60833335
0.68066669,0.44900000,0.61366665
